"time","tank2.level"
0,1e-15
0.06,1e-15
0.12,1e-15
0.18,1e-15
0.24,1e-15
0.3,1e-15
0.36,1e-15
0.42,1e-15
0.48,1e-15
0.54,1e-15
0.6,1e-15
0.66,1e-15
0.72,1e-15
0.78,1e-15
0.84,1e-15
0.9,1e-15
0.96,1e-15
1.02,1e-15
1.08,1e-15
1.14,1e-15
1.2,1e-15
1.26,1e-15
1.32,1e-15
1.38,1e-15
1.44,1e-15
1.5,1e-15
1.56,1e-15
1.62,1e-15
1.68,1e-15
1.74,1e-15
1.8,1e-15
1.86,1e-15
1.92,1e-15
1.98,1e-15
2.04,1e-15
2.1,1e-15
2.16,1e-15
2.22,1e-15
2.28,1e-15
2.34,1e-15
2.4,1e-15
2.46,1e-15
2.52,1e-15
2.58,1e-15
2.64,1e-15
2.7,1e-15
2.76,1e-15
2.82,1e-15
2.88,1e-15
2.94,1e-15
3,1e-15
3.06,1e-15
3.12,1e-15
3.18,1e-15
3.24,1e-15
3.3,1e-15
3.36,1e-15
3.42,1e-15
3.48,1e-15
3.54,1e-15
3.6,1e-15
3.66,1e-15
3.72,1e-15
3.78,1e-15
3.84,1e-15
3.9,1e-15
3.96,1e-15
4.02,1e-15
4.08,1e-15
4.14,1e-15
4.2,1e-15
4.26,1e-15
4.32,1e-15
4.38,1e-15
4.44,1e-15
4.5,1e-15
4.56,1e-15
4.62,1e-15
4.68,1e-15
4.74,1e-15
4.8,1e-15
4.86,1e-15
4.92,1e-15
4.98,1e-15
5.04,1e-15
5.1,1e-15
5.16,1e-15
5.22,1e-15
5.28,1e-15
5.34,1e-15
5.4,1e-15
5.46,1e-15
5.52,1e-15
5.58,1e-15
5.64,1e-15
5.7,1e-15
5.76,1e-15
5.82,1e-15
5.88,1e-15
5.94,1e-15
6,1e-15
6.06,1e-15
6.12,1e-15
6.18,1e-15
6.24,1e-15
6.3,1e-15
6.36,1e-15
6.42,1e-15
6.48,1e-15
6.54,1e-15
6.6,1e-15
6.66,1e-15
6.72,1e-15
6.78,1e-15
6.84,1e-15
6.9,1e-15
6.96,1e-15
7.02,1e-15
7.08,1e-15
7.14,1e-15
7.2,1e-15
7.26,1e-15
7.32,1e-15
7.38,1e-15
7.44,1e-15
7.5,1e-15
7.56,1e-15
7.62,1e-15
7.68,1e-15
7.74,1e-15
7.8,1e-15
7.86,1e-15
7.92,1e-15
7.98,1e-15
8.039999999999999,1e-15
8.1,1e-15
8.16,1e-15
8.220000000000001,1e-15
8.279999999999999,1e-15
8.34,1e-15
8.4,1e-15
8.460000000000001,1e-15
8.52,1e-15
8.58,1e-15
8.640000000000001,1e-15
8.699999999999999,1e-15
8.76,1e-15
8.82,1e-15
8.880000000000001,1e-15
8.94,1e-15
9,1e-15
9.06,1e-15
9.119999999999999,1e-15
9.18,1e-15
9.24,1e-15
9.300000000000001,1e-15
9.359999999999999,1e-15
9.42,1e-15
9.48,1e-15
9.539999999999999,1e-15
9.6,1e-15
9.66,1e-15
9.720000000000001,1e-15
9.779999999999999,1e-15
9.84,1e-15
9.9,1e-15
9.960000000000001,1e-15
10.0000000011002,1e-15
10.0000000011002,1e-15
10.02,3.871357587429494e-07
10.08,1.548542462845608e-06
10.14,2.709948275085653e-06
10.2,3.871352677355672e-06
10.26,5.032756806467084e-06
10.32,6.194159784044753e-06
10.38,7.355560546908658e-06
10.44,8.516961309772529e-06
10.5,9.678362072636434e-06
10.56,1.083976283550034e-05
10.62,1.200116123640784e-05
10.68,1.316255526681575e-05
10.74,1.432394929722367e-05
10.8,1.548534332763159e-05
10.86,1.664673735803947e-05
10.92,1.780813138844739e-05
10.98,1.896952541885531e-05
